[2026-06-13T06:08:16.373Z] GET http://127.0.0.1:50234/api/overview → 200 (1ms, 263B)
[2026-06-13T06:08:16.373Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (6ms, 515B)
[2026-06-13T06:08:16.373Z] GET http://127.0.0.1:50234/api/pending → 200 (4ms, 15B)
[2026-06-13T06:08:16.373Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (5ms, 3524B)
[2026-06-13T06:08:16.374Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (3ms, 1520B)
[2026-06-13T06:08:20.376Z] GET http://127.0.0.1:50234/api/overview → 200 (4ms, 263B)
[2026-06-13T06:08:20.376Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (11ms, 515B)
[2026-06-13T06:08:20.376Z] GET http://127.0.0.1:50234/api/pending → 200 (7ms, 15B)
[2026-06-13T06:08:20.377Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (8ms, 3524B)
[2026-06-13T06:08:20.377Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (5ms, 1520B)
[2026-06-13T06:08:24.371Z] GET http://127.0.0.1:50234/api/overview → 200 (2ms, 263B)
[2026-06-13T06:08:24.371Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (9ms, 515B)
[2026-06-13T06:08:24.372Z] GET http://127.0.0.1:50234/api/pending → 200 (4ms, 15B)
[2026-06-13T06:08:24.372Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (7ms, 3524B)
[2026-06-13T06:08:24.372Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (5ms, 1520B)
[2026-06-13T06:08:28.371Z] GET http://127.0.0.1:50234/api/overview → 200 (3ms, 263B)
[2026-06-13T06:08:28.371Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (8ms, 515B)
[2026-06-13T06:08:28.371Z] GET http://127.0.0.1:50234/api/pending → 200 (4ms, 15B)
[2026-06-13T06:08:28.372Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (7ms, 3524B)
[2026-06-13T06:08:28.372Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (4ms, 1520B)
[2026-06-13T06:08:32.371Z] GET http://127.0.0.1:50234/api/overview → pending (?ms, ?B)
[2026-06-13T06:08:32.372Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:32.372Z] GET http://127.0.0.1:50234/api/pending → pending (?ms, ?B)
[2026-06-13T06:08:32.372Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:32.372Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:36.371Z] GET http://127.0.0.1:50234/api/overview → pending (?ms, ?B)
[2026-06-13T06:08:36.371Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:36.371Z] GET http://127.0.0.1:50234/api/pending → pending (?ms, ?B)
[2026-06-13T06:08:36.371Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:36.371Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:40.372Z] GET http://127.0.0.1:50234/api/overview → pending (?ms, ?B)
[2026-06-13T06:08:40.372Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:40.372Z] GET http://127.0.0.1:50234/api/pending → pending (?ms, ?B)
[2026-06-13T06:08:40.373Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:40.373Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:44.371Z] GET http://127.0.0.1:50234/api/overview → pending (?ms, ?B)
[2026-06-13T06:08:44.372Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:44.372Z] GET http://127.0.0.1:50234/api/pending → pending (?ms, ?B)
[2026-06-13T06:08:44.372Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:44.372Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:48.374Z] GET http://127.0.0.1:50234/api/overview → pending (?ms, ?B)
[2026-06-13T06:08:48.374Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:48.374Z] GET http://127.0.0.1:50234/api/pending → pending (?ms, ?B)
[2026-06-13T06:08:48.374Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:48.374Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:52.371Z] GET http://127.0.0.1:50234/api/overview → pending (?ms, ?B)
[2026-06-13T06:08:52.371Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:52.371Z] GET http://127.0.0.1:50234/api/pending → pending (?ms, ?B)
[2026-06-13T06:08:52.371Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:52.371Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:56.374Z] GET http://127.0.0.1:50234/api/overview → pending (?ms, ?B)
[2026-06-13T06:08:56.374Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:56.375Z] GET http://127.0.0.1:50234/api/pending → pending (?ms, ?B)
[2026-06-13T06:08:56.375Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:08:56.375Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:00.374Z] GET http://127.0.0.1:50234/api/overview → pending (?ms, ?B)
[2026-06-13T06:09:00.375Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:00.375Z] GET http://127.0.0.1:50234/api/pending → pending (?ms, ?B)
[2026-06-13T06:09:00.375Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:00.375Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:04.374Z] GET http://127.0.0.1:50234/api/overview → pending (?ms, ?B)
[2026-06-13T06:09:04.374Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:04.375Z] GET http://127.0.0.1:50234/api/pending → pending (?ms, ?B)
[2026-06-13T06:09:04.375Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:04.375Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:08.375Z] GET http://127.0.0.1:50234/api/overview → pending (?ms, ?B)
[2026-06-13T06:09:08.376Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:08.376Z] GET http://127.0.0.1:50234/api/pending → pending (?ms, ?B)
[2026-06-13T06:09:08.376Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:08.376Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:12.375Z] GET http://127.0.0.1:50234/api/overview → pending (?ms, ?B)
[2026-06-13T06:09:12.375Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:12.375Z] GET http://127.0.0.1:50234/api/pending → pending (?ms, ?B)
[2026-06-13T06:09:12.375Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:12.375Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:16.373Z] GET http://127.0.0.1:50234/api/overview → pending (?ms, ?B)
[2026-06-13T06:09:16.373Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:16.373Z] GET http://127.0.0.1:50234/api/pending → pending (?ms, ?B)
[2026-06-13T06:09:16.374Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:16.374Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:20.375Z] GET http://127.0.0.1:50234/api/overview → pending (?ms, ?B)
[2026-06-13T06:09:20.376Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → pending (?ms, ?B)
[2026-06-13T06:09:20.376Z] GET http://127.0.0.1:50234/api/pending → pending (?ms, ?B)
